n,action_name,motivation,optional
1,weekly,-2,2 à 4 fois par mois
1,monthly,2,2 à 4 fois par mois
1,as_usual,2,2 à 4 fois par mois
2,weekly,-3,2 à 4 fois par mois
2,monthly,3,2 à 4 fois par mois
2,as_usual,2,2 à 4 fois par mois
7,weekly,-1,1 fois par mois ou moins
7,monthly,1,1 fois par mois ou moins
7,as_usual,2,1 fois par mois ou moins
5,weekly,-3,1 fois par mois ou moins
5,monthly,-3,1 fois par mois ou moins
5,as_usual,3,1 fois par mois ou moins
8,weekly,-1,1 fois par mois ou moins
8,monthly,1,1 fois par mois ou moins
8,as_usual,1,1 fois par mois ou moins
9,weekly,-2,1 fois par mois ou moins
9,monthly,1,1 fois par mois ou moins
9,as_usual,0,1 fois par mois ou moins
10,weekly,-1,1 fois par mois ou moins
10,monthly,1,1 fois par mois ou moins
10,as_usual,0,1 fois par mois ou moins
11,weekly,-2,1 fois par mois ou moins
11,monthly,2,1 fois par mois ou moins
11,as_usual,1,1 fois par mois ou moins
12,weekly,-1,1 fois par mois ou moins
12,monthly,1,1 fois par mois ou moins
12,as_usual,2,1 fois par mois ou moins
14,weekly,-3,1 fois par mois ou moins
14,monthly,-1,1 fois par mois ou moins
14,as_usual,2,1 fois par mois ou moins
13,weekly,1,1 fois par mois ou moins
13,monthly,2,1 fois par mois ou moins
13,as_usual,3,1 fois par mois ou moins
15,weekly,1,1 fois par mois ou moins
15,monthly,2,1 fois par mois ou moins
15,as_usual,2,1 fois par mois ou moins
16,weekly,-2,1 fois par mois ou moins
16,monthly,2,1 fois par mois ou moins
16,as_usual,0,1 fois par mois ou moins
16,weekly,-2,1 fois par mois ou moins
16,monthly,2,1 fois par mois ou moins
16,as_usual,0,1 fois par mois ou moins
17,weekly,-2,1 fois par mois ou moins
17,monthly,2,1 fois par mois ou moins
17,as_usual,2,1 fois par mois ou moins
18,weekly,3,1 fois par mois ou moins
18,monthly,3,1 fois par mois ou moins
18,as_usual,3,1 fois par mois ou moins
19,weekly,3,1 fois par mois ou moins
19,monthly,3,1 fois par mois ou moins
19,as_usual,3,1 fois par mois ou moins
20,weekly,1,1 fois par mois ou moins
20,monthly,3,1 fois par mois ou moins
20,as_usual,1,1 fois par mois ou moins
22,weekly,-1,1 fois par mois ou moins
22,monthly,3,1 fois par mois ou moins
22,as_usual,3,1 fois par mois ou moins
21,weekly,1,1 fois par mois ou moins
