Date,n,age ,gender ,category,self_eval
04-12-2025 16:53:00,1,entre 18 et 25 ans,Masculin,Agriculteurs/agricultrices exploitant.e.s,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 21:30:32,2,entre 18 et 25 ans,Masculin,Employé.e.s,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 22:50:30,3,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 22:50:43,4,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 22:52:05,5,entre 18 et 25 ans,Masculin,Cadres et professions intellectuelles supérieures,Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
04-12-2025 22:52:07,6,entre 18 et 25 ans,Ne se prononce pas,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 22:52:56,7,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Novice: Vous n'avez pas de connaissances particulières sur le sujet
04-12-2025 22:53:10,8,entre 18 et 25 ans,Feminin,Cadres et professions intellectuelles supérieures,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 22:56:11,9,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
04-12-2025 22:56:55,10,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 22:56:56,11,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 23:00:15,12,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 23:02:07,13,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Novice: Vous n'avez pas de connaissances particulières sur le sujet
04-12-2025 23:02:28,14,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
04-12-2025 23:08:15,15,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 23:20:01,16,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 23:25:16,17,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Novice: Vous n'avez pas de connaissances particulières sur le sujet
04-12-2025 23:29:50,18,entre 18 et 25 ans,Feminin,Cadres et professions intellectuelles supérieures,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 23:47:11,19,entre 18 et 25 ans,Masculin,Ne se prononce pas,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
04-12-2025 23:57:06,20,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 00:05:42,21,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 00:06:11,22,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 00:15:24,23,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
