n,action_name,motivation
1,weekly,2
1,monthly,2
1,notatall,-1
2,weekly,1
2,monthly,2
2,notatall,3
7,weekly,3
7,monthly,3
7,notatall,-2
5,weekly,3
5,monthly,3
5,notatall,-3
8,weekly,2
8,monthly,1
8,notatall,-1
9,weekly,-2
9,monthly,1
9,notatall,0
10,weekly,1
10,monthly,1
10,notatall,-3
11,weekly,2
11,monthly,-1
11,notatall,-3
12,weekly,3
12,monthly,2
12,notatall,0
14,weekly,2
14,monthly,2
14,notatall,-2
13,weekly,3
13,monthly,3
13,notatall,-1
15,weekly,2
15,monthly,2
15,notatall,2
16,weekly,3
16,monthly,3
16,notatall,0
17,weekly,-1
17,monthly,2
17,notatall,-1
18,weekly,3
18,monthly,3
18,notatall,-3
19,weekly,3
19,monthly,3
19,notatall,-3
20,weekly,3
20,monthly,2
20,notatall,-1
22,weekly,3
22,monthly,3
22,notatall,3
21,weekly,3
21,monthly,3
21,notatall,3
24,weekly,-2
24,monthly,2
24,notatall,-2
25,weekly,2
25,monthly,2
25,notatall,-2
26,weekly,3
26,monthly,3
26,notatall,-3
27,weekly,2
27,monthly,2
27,notatall,-2
29,weekly,2
29,monthly,2
29,notatall,0
30,weekly,3
30,monthly,3
30,notatall,-3
31,weekly,3
31,monthly,3
31,notatall,-1
33,weekly,3
33,monthly,0
33,notatall,-3
68,weekly,1
68,monthly,3
68,notatall,-1
69,weekly,2
69,monthly,1
69,notatall,-3
70,weekly,1
70,monthly,1
70,notatall,1
71,weekly,1
71,monthly,2
71,notatall,-2
72,weekly,0
72,monthly,0
72,notatall,0
76,weekly,-1
76,monthly,1
76,notatall,-2
75,weekly,3
75,monthly,3
75,notatall,-1
77,weekly,2
77,monthly,-2
77,notatall,-3
79,weekly,2
79,monthly,2
79,notatall,-3
80,weekly,3
80,monthly,-1
80,notatall,-3
81,weekly,-1
81,monthly,2
81,notatall,1
83,weekly,1
83,monthly,2
83,notatall,1
86,weekly,3
86,monthly,3
86,notatall,3
87,weekly,1
87,monthly,1
87,notatall,-1
89,weekly,3
89,monthly,3
89,notatall,3
90,weekly,1
90,monthly,1
90,notatall,-3
91,weekly,2
91,monthly,2
91,notatall,-3
92,weekly,1
92,monthly,1
92,notatall,3
94,weekly,1
94,monthly,1
94,notatall,-1
95,weekly,3
95,monthly,1
95,notatall,-3
96,weekly,2
96,monthly,2
96,notatall,-2
100,weekly,3
100,monthly,3
100,notatall,3
101,weekly,2
101,monthly,2
101,notatall,-2
103,weekly,-1
103,monthly,1
103,notatall,3
99,weekly,-2
99,monthly,-2
99,notatall,-2
104,weekly,3
104,monthly,3
104,notatall,-1
105,weekly,1
105,monthly,1
105,notatall,-1
106,weekly,3
106,monthly,3
106,notatall,3
107,weekly,2
107,monthly,2
107,notatall,-2
108,weekly,1
108,monthly,-1
108,notatall,-2
109,weekly,3
109,monthly,3
109,notatall,0
110,weekly,3
110,monthly,2
110,notatall,-3
112,weekly,3
112,monthly,1
112,notatall,-3
113,weekly,2
113,monthly,3
113,notatall,0
114,weekly,1
114,monthly,1
114,notatall,3
116,weekly,3
116,monthly,-2
116,notatall,-3
117,weekly,2
117,monthly,2
117,notatall,-2
118,weekly,1
118,monthly,3
118,notatall,-2
119,weekly,3
119,monthly,3
119,notatall,-3
120,weekly,2
120,monthly,-2
120,notatall,-2
121,weekly,3
121,monthly,3
121,notatall,3
122,weekly,-1
122,monthly,3
122,notatall,2
123,weekly,3
123,monthly,3
123,notatall,-3
124,weekly,3
124,monthly,3
124,notatall,-3
125,weekly,2
125,monthly,2
125,notatall,-3
126,weekly,-2
126,monthly,-2
126,notatall,-1
128,weekly,2
128,monthly,2
128,notatall,2
