,Date,n,age ,gender ,category,self_eval
0,04-12-2025 16:53:00,1,entre 18 et 25 ans,Masculin,Agriculteurs/agricultrices exploitant.e.s,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
1,04-12-2025 21:30:32,2,entre 18 et 25 ans,Masculin,Employé.e.s,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
4,04-12-2025 22:52:05,5,entre 18 et 25 ans,Masculin,Cadres et professions intellectuelles supérieures,Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
6,04-12-2025 22:52:56,7,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Novice: Vous n'avez pas de connaissances particulières sur le sujet
7,04-12-2025 22:53:10,8,entre 18 et 25 ans,Feminin,Cadres et professions intellectuelles supérieures,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
9,04-12-2025 22:56:55,10,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
10,04-12-2025 22:56:56,11,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
11,04-12-2025 23:00:15,12,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
12,04-12-2025 23:02:07,13,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Novice: Vous n'avez pas de connaissances particulières sur le sujet
13,04-12-2025 23:02:28,14,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
14,04-12-2025 23:08:15,15,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
15,04-12-2025 23:20:01,16,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
16,04-12-2025 23:25:16,17,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Novice: Vous n'avez pas de connaissances particulières sur le sujet
17,04-12-2025 23:29:50,18,entre 18 et 25 ans,Feminin,Cadres et professions intellectuelles supérieures,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
18,04-12-2025 23:47:11,19,entre 18 et 25 ans,Masculin,Ne se prononce pas,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
19,04-12-2025 23:57:06,20,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
20,05-12-2025 00:05:42,21,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
21,05-12-2025 00:06:11,22,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
